form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00806612,SB21B.952161,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2023-07-18,32.00,,MERCHANDISE FEES
SB21B,C00806612,SB21B.955590,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-15,337.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.955825,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-16,77.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.956075,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-17,84.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.956351,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-21,17.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.958039,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-22,66.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.958732,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-23,133.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959467,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-24,945.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959580,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-25,17.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959674,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-28,49.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959829,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-29,7.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960014,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-30,24.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960444,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-05,17.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961854,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-14,0.70,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962081,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-15,35.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962252,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-18,7.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962814,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-21,59.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962942,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-22,17.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963086,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-25,172.90,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963319,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-26,35.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963499,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-09-27,17.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961608,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"SUITE 201, PMB 927",ST THOMAS,VI,00802,,,2023-09-13,22.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959991,,,ORG,CAMPAIGN RESOURCE GROUP LLC,,,,,,PO BOX 1948,,HOLLAND,MI,49422,,,2023-08-31,5600.00,,FUNDRAISING CONSULTING
SB21B,C00806612,SB21B.952573,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2023-07-14,35.00,,BANK FEES
SB21B,C00806612,SB21B.952577,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2023-07-14,35.00,,BANK FEES
SB21B,C00806612,SB21B.952578,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2023-07-14,35.00,,BANK FEES
SB21B,C00806612,SB21B.952674,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2023-07-19,25.00,,BANK FEES
SB21B,C00806612,SB21B.953695,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2023-07-26,12.00,,BANK FEES
SB21B,C00806612,SB21B.960651,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2023-09-01,12.00,,BANK FEES
SB21B,C00806612,SB21B.952461,,,ORG,COMPEL LLC,,,,,,704 KINGSTON PL,,ALEXANDRIA,VA,22302,,,2023-07-20,30000.00,,STRATEGY CONSULTING
SB21B,C00806612,SB21B.962365,,,ORG,COMPEL LLC,,,,,,704 KINGSTON PL,,ALEXANDRIA,VA,22302,,,2023-09-20,20000.00,,STRATEGY CONSULTING
SB21B,C00806612,SB21B.960255,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-01,140.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960442,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-05,303.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960707,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-06,93.10,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960863,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-07,86.10,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961110,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-08,832.30,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961254,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-11,52.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961851,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-14,136.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962941,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-22,7.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959874,,,ORG,ENVISIONINK PRINTING SOLUTIONS,,,,,,2730 W AMERICAN DR,,NEENAH,WI,54956,,,2023-08-31,1304.84,,PRINTING EXPENSE
SB21B,C00806612,SB21B.961241,,,ORG,ENVISIONINK PRINTING SOLUTIONS,,,,,,2730 W AMERICAN DR,,NEENAH,WI,54956,,,2023-09-20,2699.59,,PRINTING EXPENSE
SB21B,C00806612,SB21B.955597,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,15 W OAK ST,,ALEXANDRIA,VA,22301,,,2023-08-15,8.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.950416,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-03,12.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.950595,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-05,7.76,,FUNDRAISING FEES
SB21B,C00806612,SB21B.950788,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-06,45.28,,FUNDRAISING FEES
SB21B,C00806612,SB21B.951039,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-07,37.78,,FUNDRAISING FEES
SB21B,C00806612,SB21B.951221,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-10,17.36,,FUNDRAISING FEES
SB21B,C00806612,SB21B.951485,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-11,8.24,,FUNDRAISING FEES
SB21B,C00806612,SB21B.951644,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-12,2.60,,FUNDRAISING FEES
SB21B,C00806612,SB21B.951815,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-13,2.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.951977,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-14,2.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.952091,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-17,28.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.952162,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-18,0.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.952377,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-19,10.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.952511,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-20,69.32,,FUNDRAISING FEES
SB21B,C00806612,SB21B.952781,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-24,6.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.952928,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-25,13.10,,FUNDRAISING FEES
SB21B,C00806612,SB21B.953146,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-26,7.20,,FUNDRAISING FEES
SB21B,C00806612,SB21B.953255,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-27,24.55,,FUNDRAISING FEES
SB21B,C00806612,SB21B.953387,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-28,5.37,,FUNDRAISING FEES
SB21B,C00806612,SB21B.953529,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-07-31,6.48,,FUNDRAISING FEES
SB21B,C00806612,SB21B.953652,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-01,0.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954016,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-02,10.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954276,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-03,53.52,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954516,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-04,14.25,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954681,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-07,8.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954817,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-08,10.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954953,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-09,0.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.955152,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-10,22.20,,FUNDRAISING FEES
SB21B,C00806612,SB21B.955317,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-11,0.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.955589,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-15,1.20,,FUNDRAISING FEES
SB21B,C00806612,SB21B.955824,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-16,2.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.956074,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-17,36.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.956252,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-18,1.36,,FUNDRAISING FEES
SB21B,C00806612,SB21B.956350,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-21,47.56,,FUNDRAISING FEES
SB21B,C00806612,SB21B.958038,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-22,19.60,,FUNDRAISING FEES
SB21B,C00806612,SB21B.958731,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-23,0.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959466,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-24,21.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959579,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-25,2.94,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959671,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-28,10.17,,FUNDRAISING FEES
SB21B,C00806612,SB21B.959828,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-29,9.20,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960013,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-30,4.57,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960122,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-08-31,14.08,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960253,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-01,4.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960440,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-05,41.28,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960705,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-06,12.24,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960862,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-07,13.85,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961109,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-08,28.96,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961253,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-11,8.24,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961407,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-12,2.60,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961607,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-13,0.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961850,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-14,3.60,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962078,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-15,28.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962249,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-18,0.80,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962470,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-19,10.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962625,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-20,1.36,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962813,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-21,66.36,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962940,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-22,6.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963083,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-25,7.90,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963318,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-26,5.20,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963498,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-27,2.94,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963653,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-28,21.94,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963825,,,ORG,IMGE LLC,,,,,,108 SOUTH WASHINGTON ST,3RD FLOOR,ALEXANDRIA,VA,22314,,,2023-09-29,2.48,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954491,,,IND,,O'BRIEN,JOHN,,,,9934 LAKE ANN RD,,TRAVERSE CITY,MI,49684,,,2023-08-09,2895.22,,EVENT EXPENSE: SHUTTLE TRANSPORTATION
SB21B,C00806612,SB21B.952465,,,ORG,"KENT COMMUNICATIONS, INC",,,,,,3901 EAST PARIS AVE SE,,GRAND RAPIDS,MI,49512,,,2023-08-03,3806.64,,PRINTING EXPENSE
SB21B,C00806612,SB21B.960099,,,ORG,KIRSTIN HOPKINS INC,,,,,,7110 GREENBROOK LANE,,DALLAS,TX,75214,,,2023-08-31,31806.34,,FUNDRAISING CONSULTING
SB21B,C00806612,SB21B.951222,,,ORG,OLYMPIC MEDIA LLC,,,,,,1881 N NASH STREET #2301,,ARLINGTON,VA,22209,,,2023-07-10,8.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.952513,,,ORG,OLYMPIC MEDIA LLC,,,,,,1881 N NASH STREET #2301,,ARLINGTON,VA,22209,,,2023-07-20,12.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.956253,,,ORG,OLYMPIC MEDIA LLC,,,,,,1881 N NASH STREET #2301,,ARLINGTON,VA,22209,,,2023-08-18,12.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960123,,,ORG,OLYMPIC MEDIA LLC,,,,,,1881 N NASH STREET #2301,,ARLINGTON,VA,22209,,,2023-08-31,204.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960254,,,ORG,OLYMPIC MEDIA LLC,,,,,,1881 N NASH STREET #2301,,ARLINGTON,VA,22209,,,2023-09-01,300.00,,FUNDRAISING FEES
