SB29,C00828541,SB29.1037159.15,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,505.88,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.16,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,385.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.17,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,398.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.18,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,247.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.19,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-28,528.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.21,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,449.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.22,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,366.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.23,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,366.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.24,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,334.81,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.25,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,289.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.26,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,289.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.27,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,338.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.28,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,459.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.29,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-29,49.95,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.31,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,502.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.32,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,518.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.33,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,409.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.34,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,527.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.35,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,527.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.36,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,498.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.37,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,498.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.38,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,498.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.39,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,649.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.40,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,423.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.41,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,97.50,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.42,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,448.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.43,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,433.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.44,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,406.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.45,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,289.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.46,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,289.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.47,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,289.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.48,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,565.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.49,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,428.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.50,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,428.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.51,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,366.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.52,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,353.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.53,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,429.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.54,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,290.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.55,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,246.99,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.56,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-30,370.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.57,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,453.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.58,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,392.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.59,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,406.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.60,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,392.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.61,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,488.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.62,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,173.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.63,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,410.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.64,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,663.96,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.65,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,319.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.66,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,401.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.67,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,444.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.68,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,602.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.69,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,641.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.70,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,396.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.71,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,822.95,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.72,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,822.95,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.73,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,328.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.74,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,422.12,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.75,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,352.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.76,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,382.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.77,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,290.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.78,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,310.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.79,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,334.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.80,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,498.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.81,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,297.97,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.82,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,336.47,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.83,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,319.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.84,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,319.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.85,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,319.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.86,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,319.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.87,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,319.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.88,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,320.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.89,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,524.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.90,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,387.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.91,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,269.48,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
SB29,C00828541,SB29.1037159.92,SB29.1037159,SB29,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,G2024,,2024-10-31,396.98,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,X
