form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00754754,SB21B.10963,,,PAC,ACTBLUE,,,,,,PO BOX 441146,,SOMERVILLE,MA,02144,,,2024-06-30,167.79,,Merchant Fees,,C00714725,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10937,,,ORG,Fifth Third Bank,,,,,,809 S High St,,Columbus,OH,43215,,,2024-04-10,77.50,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10947,,,ORG,Fifth Third Bank,,,,,,809 S High St,,Columbus,OH,43215,,,2024-05-10,77.50,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10957,,,ORG,Fifth Third Bank,,,,,,809 S High St,,Columbus,OH,43215,,,2024-06-12,77.50,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10951,,,ORG,Financial Innovations Inc.,,,,,,1 Weingeroff Blvd,,Cranston,RI,02910,,,2024-05-23,400.00,,Website Development Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10961,,,ORG,Financial Innovations Inc.,,,,,,1 Weingeroff Blvd,,Cranston,RI,02910,,,2024-06-18,35.00,,Website Development Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10962,,,ORG,Financial Innovations Inc.,,,,,,1 Weingeroff Blvd,,Cranston,RI,02910,,,2024-06-18,1230.00,,Website Development Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10938,,,ORG,McTigue & Colombo LLC,,,,,,545 East Town Street,,Columbus,OH,43215,,,2024-04-10,200.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10948,,,ORG,McTigue & Colombo LLC,,,,,,545 East Town Street,,Columbus,OH,43215,,,2024-05-13,200.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10958,,,ORG,McTigue & Colombo LLC,,,,,,545 East Town Street,,Columbus,OH,43215,,,2024-06-12,200.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10939,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,92703,,,2024-04-10,5611.11,,Texting Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10943,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,92703,,,2024-05-03,33.09,,Texting Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10956,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,92703,,,2024-06-05,876.95,,Texting Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10953,,,ORG,Squarespace,,,,,,8 Clarkson St,,New York City,NY,10014,,,2024-05-28,237.36,,Website Hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10934,,,ORG,The Smoot Tewes Group Inc,,,,,,750 17th St NW Ste 500,,Washington,DC,20006,,,2024-04-02,7000.00,,General Campaign Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10942,,,ORG,The Smoot Tewes Group Inc,,,,,,750 17th St NW Ste 500,,Washington,DC,20006,,,2024-05-02,7000.00,,General Campaign Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754754,SB21B.10955,,,ORG,The Smoot Tewes Group Inc,,,,,,750 17th St NW Ste 500,,Washington,DC,20006,,,2024-06-04,7000.00,,General Campaign Consulting,,,,,,,,,,,,,,,,,,,,
