form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00710178,SB21B-990809,,,ORG,BANK OF LABOR,,,,,,756 MINNESOTA AVENUE,,KANSAS CITY,KS,66101,,,2024-04-17,50.45,201.62,BANK SERVICE CHARGE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-990817,,,ORG,INTERNATIONAL UNION OF POLICE ASSN,,,,,,5632 BEE RIDGE ROAD,STE 200,SARASOTA,FL,34233,,,2024-04-30,2120.00,16476.21,LEGISLATIVE SERVICES,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987087,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-03,1424.29,52023.36,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987089,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-10,2977.74,52023.36,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987091,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-17,2662.22,52023.36,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987093,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-24,1453.79,52023.36,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-990807,,,ORG,PACSMART FILING SERVICE LLC,,,,,,1013 CENTRE ROAD,SUITE 403-A,WILMINGTON,DE,19805,,,2024-04-01,800.00,4000.00,FEC COMPLIANCE REPORTING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-881247,,,ORG,PACSMART FILING SERVICE LLC,,,,,,1013 CENTRE ROAD,SUITE 403-A,WILMINGTON,DE,19805,,,2024-04-30,800.00,4000.00,FEC COMPLIANCE REPORTING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-703421,,,ORG,PNC  BANK,,,,,,5440 CLARK RD,,SARASOTA,FL,34233,,,2024-04-01,545.47,2316.55,BANK SERVICE CHARGE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-703415,,,ORG,PNC  BANK,,,,,,5440 CLARK RD,,SARASOTA,FL,34233,,,2024-04-02,175.40,2316.55,CREDIT CARD PROCESSING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-991769,,,ORG,RALLYPAY,,,,,,995 MARKET STREET,FLOOR 2,SAN FRANCISO,CA,94103,,,2024-04-30,29.00,6338.49,"COMBINED ""OFF THE TOP"" CREDIT CARD CHARGEBACKS",003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-991765,,,ORG,RALLYPAY,,,,,,995 MARKET STREET,FLOOR 2,SAN FRANCISO,CA,94103,,,2024-04-30,58.00,6338.49,"COMBINED ""OFF THE TOP"" CREDIT CARD CHARGEBACKS",003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-991767,,,ORG,RALLYPAY,,,,,,995 MARKET STREET,FLOOR 2,SAN FRANCISO,CA,94103,,,2024-04-30,710.20,6338.49,"COMBINED ""OFF THE TOP"" CC TRANSACTION FEES APR",003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-991771,,,ORG,RALLYPAY,,,,,,995 MARKET STREET,FLOOR 2,SAN FRANCISO,CA,94103,,,2024-04-30,969.36,6338.49,"COMBINED ""OFF THE TOP"" CC TRANSACTION FEES APR",003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987105,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-04-03,1193.32,41947.37,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987107,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-04-10,2494.86,41947.37,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987109,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-04-17,2230.51,41947.37,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987111,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-04-24,1218.04,41947.37,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987115,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH,F-677,LAKE HAVASU CITY,AZ,86403,,,2024-04-03,2694.59,98422.52,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987117,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH,F-677,LAKE HAVASU CITY,AZ,86403,,,2024-04-10,5633.56,98422.52,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987119,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH,F-677,LAKE HAVASU CITY,AZ,86403,,,2024-04-17,5036.63,98422.52,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987121,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH,F-677,LAKE HAVASU CITY,AZ,86403,,,2024-04-24,2750.41,98422.52,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
