form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00889493,SB21B.I478745,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,SUITE 1770,NEW ORLEANS,LA,70112,,,2024-10-22,1000.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485020,,,ORG,CMDI,,,,,,1593 SPRING HILL RD.,SUITE 400,TYSONS CORNER,VA,22182,,,2024-11-18,250.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478728,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-21,728965.77,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478730,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-21,342124.80,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478731,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-21,156565.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484932,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-25,121965.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484955,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-29,728965.78,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484957,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-29,342124.80,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484982,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-10-31,188570.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484991,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-11-01,149645.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478744,,,ORG,FP1 STRATEGIES,,,,,,3001 WASHINGTON BLVD,7TH FLOOR,ARLINGTON,VA,22201,,,2024-10-22,132835.00,,MEDIA PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485001,,,ORG,FP1 STRATEGIES,,,,,,3001 WASHINGTON BLVD,7TH FLOOR,ARLINGTON,VA,22201,,,2024-11-04,12040.00,,MEDIA/DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485002,,,ORG,FP1 STRATEGIES,,,,,,3001 WASHINGTON BLVD,7TH FLOOR,ARLINGTON,VA,22201,,,2024-11-04,128485.00,,MEDIA/DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484934,,,ORG,"PUSH DIGITAL, LLC",,,,,,1401 SAM RITTENBERG BLVD,STE 1,CHARLESTON,SC,29407,,,2024-10-25,75000.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484935,,,ORG,"PUSH DIGITAL, LLC",,,,,,1401 SAM RITTENBERG BLVD,STE 1,CHARLESTON,SC,29407,,,2024-10-25,400000.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485003,,,ORG,"PUSH DIGITAL, LLC",,,,,,1401 SAM RITTENBERG BLVD,STE 1,CHARLESTON,SC,29407,,,2024-11-04,25000.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478735,,,ORG,RALLY DIGITAL,,,,,,507 SOUTH 2ND STREET,STE. 175,MILWAUKEE,WI,53204,,,2024-10-21,250000.00,,MEDIA,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478724,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-18,96.06,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478740,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-21,30.77,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484927,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-24,4.10,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484938,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-25,835.94,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484945,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-28,834.11,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484952,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-29,800.00,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484963,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-30,565.26,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484977,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-10-31,480.00,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484998,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-11-04,0.99,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485021,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-11-12,1.03,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485032,,,ORG,WINRED,,,,,,1776 WILSON BOULEVARD,STE. 530,ARLINGTON,VA,22209,,,2024-11-21,10.25,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
