form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00528950,SB21B.16368,,,ORG,ActBlue Technical Services,,,,,,PO BOX 441146,,Somerville,MA,02144,,,2024-09-30,11323.23,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16382,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-07-24,50000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16387,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-07-31,50000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16409,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-09-05,8000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16404,,,ORG,Paragon Payment Solutions,,,,,,2141 East Broadway Rd,Suite 202,Tempe,AZ,85282,,,2024-09-03,25.00,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16385,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1025 Vermont Ave, NW",,Washington,DC,20005,,,2024-07-30,562.50,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16399,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-08-26,1300.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16405,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-09-04,8750.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16408,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-09-05,8750.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16413,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-09-13,5000.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16380,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-07-22,59.35,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16397,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-08-21,59.35,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16416,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-09-23,59.35,,Software,,,,,,,,,,,,,,,,,,,,
