form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00826230,SB21B.5119,,,ORG,CAPITAL CAMPAIGN GROUP,,,,,,4030 HENDERSON BLVD,SUITE 351,TAMPA,FL,33629,,,2024-04-04,1995.04,,FUNDRAISING CONSULTING EXPENSES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5128,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-13,339.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5129,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-14,32.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5130,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-15,169.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5131,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-16,848.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5132,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-17,275.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5133,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-20,297.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5134,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-29,80.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5115,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-30,506.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5116,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-31,96.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5117,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-03,695.24,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5118,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-06,64.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
