form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00756569,500701503,,,ORG,Google Inc.,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-07-01,109.46,0.00,PAC Software Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691683,,,ORG,Google Inc.,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-08-01,109.46,0.00,PAC Software Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500701504,,,ORG,Google Inc.,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-08-01,109.46,0.00,PAC Software Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691684,,,ORG,Google Inc.,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-09-01,109.46,0.00,PAC Software Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691673,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2024-07-22,2302.50,0.00,PAC Legal & Treasury Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691674,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2024-08-27,1441.50,0.00,PAC Legal & Treasury Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691677,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2024-09-17,5571.50,0.00,PAC Legal & Treasury Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691670,,,ORG,"Rising Tide Interactive, LLC",,,,,,529 14th St NW,,Washington,DC,200451000,,,2024-09-30,80000.00,0.00,PAC Media Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691692,,,ORG,"Salesberry Group, LLC",,,,,,332 S Michigan Ave,,Pasadena,CA,91106,,,2024-08-05,259.49,0.00,PAC Office Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691695,,,ORG,"Salesberry Group, LLC",,,,,,332 S Michigan Ave,,Pasadena,CA,91106,,,2024-09-04,179.31,0.00,PAC Office Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691691,,,ORG,TinyMDM,,,,,,9 rue des Olivettes,,Nantes,Na,44000,,,2024-07-04,352.00,0.00,PAC Software Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691690,,,ORG,TinyMDM,,,,,,9 rue des Olivettes,,Nantes,Na,44000,,,2024-08-03,362.56,0.00,PAC Software Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691705,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,,,2024-09-16,392321.93,0.00,Field Canvassing Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00756569,500691704,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,,,2024-09-23,1000000.00,0.00,Field Canvassing Expenses,,,,,,,,,,,,,,,,,,,,
