form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834507,SB21B.4668,,,ORG,116 Club,,,,,,234 3rd St NE,,Washington,DC,20002,,,2024-02-06,824.11,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4682,,,ORG,"CM&Co, LLC",,,,,,PO Box 97275,,Raleigh,NC,27624,,,2024-02-04,2097.45,,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4602,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-01-05,497.60,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4605,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-01-25,831.20,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4606,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-01-25,831.20,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4607,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-01-25,358.10,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4683,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-02-20,340.00,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4684,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-02-21,868.10,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4621,,,ORG,Four Seasons,,,,,,75 Fourteenth Street NE,,Atlanta,GA,30309,,,2024-01-16,945.34,,PAC - Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4622,,,ORG,Four Seasons,,,,,,75 Fourteenth Street NE,,Atlanta,GA,30309,,,2024-01-17,3678.50,,PAC - Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4596,,,ORG,Frontier Airlines,,,,,,4545 Airport Way,,Denver,CO,80239,,,2024-01-04,308.96,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4599,,,ORG,Frontier Airlines,,,,,,4545 Airport Way,,Denver,CO,80239,,,2024-01-12,104.00,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4686,,,ORG,Keefe's Flowers,,,,,,1745 CY Ave,,Casper,WY,82604,,,2024-02-02,224.99,,PAC Event Flowers,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4618,,,ORG,MARRIOTT,,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-16,308.22,,PAC - Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4619,,,ORG,MARRIOTT,,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-16,308.22,,PAC - Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4620,,,ORG,MARRIOTT,,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-16,16.00,,PAC - Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4688,,,ORG,"Political Ink, Inc.",,,,,,1200 18th Street NW,Suite 700,Washington,DC,20036,,,2024-02-13,10737.77,,"PAC Printing Services, Postage",,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4638,,,ORG,Primb Rib,,,,,,2020 K St NW,,Washington,DC,20006,,,2024-01-26,219.30,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4690,,,ORG,"The Stanton Group, LLC",,,,,,3410 Alabama Ave,,Alexandria,VA,22305,,,2024-02-09,32373.29,,"PAC Fundraising Consulting, Food/Beverage, Travel",,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4610,,,ORG,The Stanton Group LLC,,,,,,The Stanton Group LLC,,Alexandria,VA,22305,,,2024-01-10,32797.14,,"PAC- Airfare, Event, Parking, Fundraising Consulting",,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4600,,,ORG,United Airlines,,,,,,233 South Wacker Drive,,Chicago,IL,60606,,,2024-01-05,1759.10,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4604,,,ORG,United Airlines,,,,,,233 South Wacker Drive,,Chicago,IL,60606,,,2024-01-16,8.00,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
