form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00836866,EB430,,,ORG,Ad Victoriam Solutions,,,,,,"6525 Shiloh Road, Ste. D-300",,Alpharetta,GA,30005,,,2024-10-19,1.70,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB423,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-27,1393.02,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB412,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-27,76.99,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB427,,,ORG,Campaign Data Group,,,,,,P.O. Box 1269,,Annadale,VA,22003,,,2024-10-28,0.85,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB425,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-28,338.33,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB424,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-28,677.18,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB415,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-28,25.58,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB413,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-28,41.94,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB426,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-29,45.72,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB428,,,ORG,"O2M Digital, LLC",,,,,,"123 N. College Avenue, Ste. 390",,Fort Collins,CO,80524,,,2024-10-29,556.44,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB416,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-29,34.59,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB381,,,ORG,Inspiration Strategies,,,,,,660 Karchner Road,,Lincoln,CA,95648,G2024,,2024-11-05,450.00,,Digital Media commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB396,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,250.00,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB382,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,251.20,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB384,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,94.35,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB388,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,94.35,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB386,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,125.60,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB390,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,251.60,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB392,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,220.08,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB394,,,ORG,VLC Financial Services,,,,,,10093 Davis Road,,Wilton,CA,95693,,,2024-11-05,250.00,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB446,,,ORG,Campaign Data Group,,,,,,P.O. Box 1269,,Annadale,VA,22003,,,2024-11-25,226.76,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB444,,,ORG,Donor Bureau,,,,,,1900 N. Culpepper Street,,Arlington,VA,22207,,,2024-11-25,418.15,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB443,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-11-25,13146.73,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB431,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-11-25,430.51,,Email/text program,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB432,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-11-25,1234.76,,Email/text program,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB433,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-11-25,5000.00,,Campaign Consulting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB434,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-11-25,5000.00,,Campaign Consulting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB442,,,ORG,Hickory Data LLC,,,,,,15 W. Oak Street,,Alexandria,VA,22301,,,2024-11-25,412.24,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB441,,,ORG,Innonde LLC,,,,,,30 N. Gould Street,,Sheridan,WY,82801,,,2024-11-25,10.93,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB440,,,ORG,Inspiration Strategies,,,,,,660 Karchner Road,,Lincoln,CA,95648,,,2024-11-25,0.78,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB435,,,ORG,Inspiration Strategies,,,,,,660 Karchner Road,,Lincoln,CA,95648,,,2024-11-25,5000.00,,Campaign Management Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB439,,,ORG,"O2M Digital, LLC",,,,,,"123 N. College Avenue, Ste. 390",,Fort Collins,CO,80524,,,2024-11-25,555.02,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB438,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-11-25,1674.61,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
