form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00843482,SB29.4161,,,ORG,"Artisan Strategies & Solutions, LLC",,,,,,6931 Stoddert Ln,,Hyattsville,MD,20785,,,2023-10-31,4761.46,,Non-Contribution Acct - Non-Federal IE - Direct Mail Production,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4135,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-08-17,2307.50,,Non-Contribution Account In-Kind - Media Production,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4223,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-08-25,3500.00,,Non-Contribution Account In-Kind - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4213,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-08-31,1110.00,,Non-Contribution Account In-Kind - Payroll,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4233,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-09-11,858.00,,Non-Contribution Account In-Kind - Legal Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4225,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-09-25,3500.00,,Non-Contribution Account In-Kind - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4215,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-09-30,557.00,,Non-Contribution Account In-Kind - Payroll,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4235,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-10-11,143.00,,Non-Contribution Account In-Kind - Legal Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4227,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-10-23,3500.00,,Non-Contribution Account In-Kind - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4217,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-10-31,1336.00,,Non-Contribution Account In-Kind - Payroll,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4237,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-11-03,3640.00,,Non-Contribution Account In-kind - Media Production,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4229,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-11-22,3500.00,,Non-Contribution Account In-Kind - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4231,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-12-29,3500.00,,Non-Contribution Account In-Kind - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4219,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-12-31,557.00,,Non-Contribution Account In-Kind - Payroll,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4112,,,ORG,Stones' Phones,,,,,,41-750 Rancho Las Palmas Dr,Ste E-3,Rancho Mirage,CA,92270,,,2023-07-24,3002.25,,Non-Contribution Acct - Non-Federal IE - Phonebanking,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4119,,,ORG,Stones' Phones,,,,,,41-750 Rancho Las Palmas Dr,Ste E-3,Rancho Mirage,CA,92270,,,2023-08-01,3362.55,,Non-Contribution Acct - Non-Federal IE - Phonebanking,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4162,,,ORG,Stones' Phones,,,,,,41-750 Rancho Las Palmas Dr,Ste E-3,Rancho Mirage,CA,92270,,,2023-08-01,3765.18,,Non-Contribution Acct - Non-Federal IE - Phonebanking,,,,,,,,,,,,,,,,,,,,
