form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00695163,SB21B.I21237,,,ORG,AMERICAN WRITERS NETWORK LLC,,,,,,800 MAINE AVE SW,STE 200,WASHINGTON,DC,20003,,,2024-08-02,5000.00,,JFC SPEECH WRITING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22341,SB21B.I21234,SB21B,ORG,FAST CAR AND LIMO SERVICE,,,,,,5144 PINE ABBE DR. S,,WEST PALM BEACH,FL,33415,,,2024-08-01,1659.68,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I22342,SB21B.I21234,SB21B,ORG,"LONGLEAF SERVICES, INC.",,,,,,116 S BOUNDARY ST,,CHAPEL HILL,NC,27514,,,2024-08-01,2202.76,,JFC BOOKS FOR MEMBERS,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I22344,SB21B.I21234,SB21B,ORG,UBER,,,,,,1455 MARKET ST #400,,SAN FRANCISCO,CA,94103,,,2024-08-01,207.00,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I22421,,,ORG,CHASE,,,,,,P.O. BOX 1423,,CHARLOTTE,NC,28201,,,2024-09-09,2577.83,,SEE MEMO,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22435,SB21B.I22421,SB21B,ORG,DELTA AIRLINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-09-09,1657.39,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I22436,SB21B.I22421,SB21B,ORG,GOOGLE,,,,,,1600 AMPHITHEATRE PKWY,,MOUNTAIN VIEW,CA,94043,,,2024-09-09,213.14,,JFC SOFTWARE,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I22437,SB21B.I22421,SB21B,ORG,JETBLUE AIRWAYS,,,,,,118-29 QUEENS BLVD,,FOREST HILLS,NY,11375,,,2024-09-09,529.30,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21160,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-07-23,20.00,,JFC BANK FEE,002,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21260,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-08-01,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22601,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-09-30,20.00,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21100,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2024-07-10,1000.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21262,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2024-08-02,1000.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22491,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2024-09-04,1000.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22526,,,ORG,"COMPEL, LLC",,,,,,704 KINGSTON PLACE,,ALEXANDRIA,VA,22302,,,2024-09-17,15000.00,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21069,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-07-08,14.96,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21127,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-07-22,93.64,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21215,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-07-29,70.30,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22316,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-08-19,20.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22383,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-08-26,142.68,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22406,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-09-02,7.03,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22542,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-09-23,64.48,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22581,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-09-30,158.30,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22527,,,ORG,ENVISIONINK PRINTING SOLUTIONS,,,,,,2730 W AMERICAN DR.,,NEENAH,WI,54956,,,2024-09-18,2248.52,,JFC PRINTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21078,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-07-15,4.25,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21128,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-07-22,1155.76,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21216,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-07-29,376.22,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21249,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-07-31,171.46,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21253,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-08-05,25.31,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21289,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-08-12,52.95,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22317,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-08-19,166.21,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22384,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-08-26,107.39,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22407,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-09-02,1.59,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22487,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-09-09,210.32,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22512,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-09-16,86.75,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22543,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-09-23,153.21,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22582,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-09-30,248.93,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22591,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-09-30,132.55,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22612,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-09-30,7.98,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21123,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-07-22,53.65,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21211,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-07-29,24.21,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22379,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-08-26,8.87,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22485,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-09-09,8.07,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22509,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-09-16,40.97,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22539,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-09-23,80.24,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22577,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-09-30,4.20,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21114,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HWY,,HAYMARKET,VA,20169,,,2024-07-22,1606.25,,JFC LEGAL CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21077,,,ORG,"LISTWISE, LLC",,,,,,1423 W BELMONT AVE,,CHICAGO,IL,60657,,,2024-07-15,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21288,,,ORG,"LISTWISE, LLC",,,,,,1423 W BELMONT AVE,,CHICAGO,IL,60657,,,2024-08-12,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22511,,,ORG,"LISTWISE, LLC",,,,,,1423 W BELMONT AVE,,CHICAGO,IL,60657,,,2024-09-16,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21068,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-07-08,20.40,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21076,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-07-15,20.36,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21126,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-07-22,55.84,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21213,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-07-29,72.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21247,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-07-31,63.47,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21287,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-08-12,28.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22315,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-08-19,110.62,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22382,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-08-26,55.84,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22404,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-09-02,55.87,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22486,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-09-09,51.60,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22510,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-09-16,19.40,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22541,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-09-23,414.28,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22579,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-09-30,16.68,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22590,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-09-30,71.63,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21125,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2024-07-22,7.60,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22381,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2024-08-26,177.75,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22589,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2024-09-30,1876.07,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22615,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2024-09-30,16.19,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21066,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-07-08,56.12,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21074,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-07-15,96.13,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21121,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-07-22,356.13,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
