form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00793000,SB29.4518,,,ORG,Auto-Owners Insurance,,,,,,6101 Anacapri Blvd,,Lansing,MI,48917,,,2024-09-03,203.50,,Non-Contribution Account: Insurance,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4488,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-09-03,13.41,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4489,,,ORG,"Gusto, Inc.",,,,,,525 20th St,,San Francisco,CA,94107,,,2024-07-03,40.00,,Non-Contribution Account: Payroll Services,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4490,,,ORG,"Gusto, Inc.",,,,,,525 20th St,,San Francisco,CA,94107,,,2024-08-05,40.00,,Non-Contribution Account: Payroll Services,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4491,,,ORG,"Gusto, Inc.",,,,,,525 20th St,,San Francisco,CA,94107,,,2024-09-05,40.00,,Non-Contribution Account: Payroll Services,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4495,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-07-08,575.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4501,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-07-29,7.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4496,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-08-06,575.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4502,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-08-28,7.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4497,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-09-06,47.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4503,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-09-30,7.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4498,,,ORG,Squarekicker,,,,,,15 Bridge St,,"Nelson, NZ",ZZ,,,,2024-07-22,59.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4499,,,ORG,Squarekicker,,,,,,15 Bridge St,,"Nelson, NZ",ZZ,,,,2024-08-21,59.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4500,,,ORG,Squarekicker,,,,,,15 Bridge St,,"Nelson, NZ",ZZ,,,,2024-09-23,59.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4492,,,ORG,Zapier,,,,,,548 Market St,,San Francisco,CA,94104,,,2024-07-08,29.99,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4493,,,ORG,Zapier,,,,,,548 Market St,,San Francisco,CA,94104,,,2024-08-08,29.99,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4494,,,ORG,Zapier,,,,,,548 Market St,,San Francisco,CA,94104,,,2024-09-09,29.99,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
