form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00469429,SB21B.I58907,,,ORG,AMERICAN EXPRESS,,,,,,P.O. BOX 1270,,NEWARK,NJ,07101,,,2023-07-24,424.11,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60639,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-11-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60799,,,ORG,BERKE FARAH LLP,,,,,,"701 8TH STREET, NW",SUITE 620,WASHINGTON,DC,20001,,,2023-12-01,2000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I57823,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-07-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I58975,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-08-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I59126,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-09-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60487,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-10-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60645,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-11-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60816,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2023-12-03,250.00,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I58969,,,ORG,"CONCENTRIC OFFICE, LLC",,,,,,8136 OLD KEENE MILL ROAD,SUITE A300,SPRINGFIELD,VA,22152,,,2023-08-01,1616.66,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00469429,SB21B.I60640,,,ORG,"CONCENTRIC OFFICE, LLC",,,,,,8136 OLD KEENE MILL ROAD,SUITE A300,SPRINGFIELD,VA,22152,,,2023-11-01,1521.78,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
