form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00695163,SB21B.I21001,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2024-06-25,234.80,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20980,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-06-24,1695.54,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21011,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-06-30,1729.65,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21034,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-06-30,1776.07,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I19535,,,ORG,"CAMPAIGN STRATEGIES, LLC",,,,,,880 NEW JERSEY AVE SE,UNIT 303,WASHINGTON,DC,20003,,,2024-04-05,3000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20687,,,ORG,"CAMPAIGN STRATEGIES, LLC",,,,,,880 NEW JERSEY AVE SE,UNIT 303,WASHINGTON,DC,20003,,,2024-05-06,3000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20917,,,ORG,"CAMPAIGN STRATEGIES, LLC",,,,,,880 NEW JERSEY AVE SE,UNIT 303,WASHINGTON,DC,20003,,,2024-06-11,3000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I19505,,,ORG,CHASE,,,,,,P.O. BOX 1423,,CHARLOTTE,NC,28201,,,2024-04-02,7634.10,,SEE MEMO,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20616,SB21B.I19505,SB21B,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,,,2024-04-03,1104.40,,JFC TRAVEL EXPENSE,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20617,SB21B.I19505,SB21B,ORG,HILTON HOTELS,,,,,,7930 JONES BRANCH DR.,,MC LEAN,VA,22102,,,2024-04-03,3669.69,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20635,SB21B.I19505,SB21B,ORG,HULL'S SEAFOOD RESTAURANT,,,,,,111 W GRANADA BLVD,,ORMOND BCH,FL,32174,,,2024-04-03,490.71,,JFC MEETING EXPENSE,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20623,SB21B.I19505,SB21B,ORG,JETBLUE AIRWAYS,,,,,,118-29 QUEENS BLVD,,FOREST HILLS,NY,11375,,,2024-04-03,1290.78,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20618,SB21B.I19505,SB21B,ORG,UBER,,,,,,1455 MARKET ST #400,,SAN FRANCISCO,CA,94103,,,2024-04-03,282.55,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20628,SB21B.I19505,SB21B,ORG,UNITED AIRLINES,,,,,,233 S WACKER DR.,,CHICAGO,IL,60606,,,2024-04-03,249.00,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20722,,,ORG,CHASE,,,,,,P.O. BOX 1423,,CHARLOTTE,NC,28201,,,2024-05-03,5249.45,,SEE MEMO,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20744,SB21B.I20722,SB21B,ORG,ATLANTIC SELF STORAGE,,,,,,7880 GATE PKWY,STE 300,JACKSONVILLE,FL,32256,,,2024-05-03,247.45,,JFC STORAGE,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20736,SB21B.I20722,SB21B,ORG,BILTMORE HOTEL AND SUITES,,,,,,1200 ANASTASIA AVE,,CORAL GABLES,FL,33134,,,2024-05-03,2351.85,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20735,SB21B.I20722,SB21B,ORG,DELTA AIRLINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-05-03,198.10,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20737,SB21B.I20722,SB21B,ORG,ESL LIMO,,,,,,17 BELMONT AVE,,YONKERS,NY,10704,,,2024-05-03,489.00,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20742,SB21B.I20722,SB21B,ORG,HOTEL RIU PLAZA ,,,,,,305 W 46TH ST.,,NEW YORK,NY,10036,,,2024-05-03,701.76,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20732,SB21B.I20722,SB21B,ORG,JAX BLACK CAR TRANSPORTATION,,,,,,3832-10 BAYMEADOWS RD,#170,JACKSONVILLE,FL,32217,,,2024-05-03,321.52,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20731,SB21B.I20722,SB21B,ORG,UBER,,,,,,1455 MARKET ST #400,,SAN FRANCISCO,CA,94103,,,2024-05-03,602.79,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20863,,,ORG,CHASE,,,,,,P.O. BOX 1423,,CHARLOTTE,NC,28201,,,2024-06-03,7096.29,,SEE MEMO,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20944,SB21B.I20863,SB21B,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,,,2024-06-03,617.70,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20948,SB21B.I20863,SB21B,ORG,ATLANTIC SELF STORAGE,,,,,,7880 GATE PKWY,STE 300,JACKSONVILLE,FL,32256,,,2024-06-03,247.45,,JFC STORAGE,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20946,SB21B.I20863,SB21B,ORG,JETBLUE AIRWAYS,,,,,,118-29 QUEENS BLVD,,FOREST HILLS,NY,11375,,,2024-06-03,713.80,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20947,SB21B.I20863,SB21B,ORG,"LONGLEAF SERVICES, INC.",,,,,,116 S BOUNDARY ST,,CHAPEL HILL,NC,27514,,,2024-06-03,4439.75,,JFC BOOKS FOR MEMBERS,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20945,SB21B.I20863,SB21B,ORG,THE J HOUSE,,,,,,1114 E PUTNAM AVE,,RIVERSIDE,CT,06878,,,2024-06-03,624.69,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I20942,SB21B.I20863,SB21B,ORG,UBER,,,,,,1455 MARKET ST #400,,SAN FRANCISCO,CA,94103,,,2024-06-03,263.65,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I19555,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-04-10,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20659,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-04-17,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20723,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-05-01,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20779,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-05-10,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20899,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-05-17,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20900,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-06-05,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21000,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2024-06-18,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I19512,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2024-04-02,750.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20721,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2024-05-03,750.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20882,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2024-06-04,750.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20973,,,ORG,"COMPEL, LLC",,,,,,704 KINGSTON PLACE,,ALEXANDRIA,VA,22302,,,2024-06-21,15000.00,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20608,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-04-22,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20793,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-05-20,448.39,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20813,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-05-27,2018.26,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20874,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-06-03,22.67,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20960,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-06-17,22.23,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20984,,,ORG,DONORBUREAU,,,,,,1550 W MCEWEN DR.,STE 300,FRANKLIN,TN,37067,,,2024-06-24,185.20,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20562,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-04-15,33.65,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20609,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-04-22,2281.97,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20652,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-04-29,17.64,,JFC DIGITAL MARKETING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20696,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-05-06,346.04,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20794,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-05-20,2283.39,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20814,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-05-27,1460.55,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20875,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-06-03,3345.94,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20908,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-06-10,794.04,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20961,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-06-17,1792.22,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20985,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-06-24,1610.69,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21016,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-06-30,18.27,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21037,,,ORG,"FRONTLINE STRATEGIES, LLC",,,,,,4 HOLLY LANE,,MOHNTON,PA,19540,,,2024-06-30,254.25,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20558,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-04-15,640.57,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20604,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-04-22,184.19,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20693,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-05-06,92.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20810,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-05-27,452.86,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20870,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-06-03,12.10,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20906,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-06-10,16.34,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20981,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-06-24,12.90,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21012,,,ORG,"HICKORY DATA MANAGEMENT, LLC",,,,,,520 12TH ST S,APT 1616,ARLINGTON,VA,22202,,,2024-06-30,8.07,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20561,,,ORG,"LISTWISE, LLC",,,,,,1423 W BELMONT AVE,,CHICAGO,IL,60657,,,2024-04-15,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20768,,,ORG,"LISTWISE, LLC",,,,,,1423 W BELMONT AVE,,CHICAGO,IL,60657,,,2024-05-13,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20959,,,ORG,"LISTWISE, LLC",,,,,,1423 W BELMONT AVE,,CHICAGO,IL,60657,,,2024-06-17,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20560,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-04-15,37.11,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20607,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-04-22,1674.60,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20650,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-04-29,273.92,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20694,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-05-06,75.05,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20767,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-05-13,240.50,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20792,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-05-20,624.84,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20812,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-05-27,211.06,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20872,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-06-03,737.60,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20907,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-06-10,351.36,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20958,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-06-17,72.39,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20983,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-06-24,71.04,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21014,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-06-30,88.63,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21035,,,ORG,O2M DIGITAL,,,,,,539 W COMMERCE ST,UNIT 4240,DALLAS,TX,75208,,,2024-06-30,63.96,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20606,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2024-04-22,46.72,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20649,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2024-04-29,1.52,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I19551,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-04-08,11.49,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20553,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-04-16,16973.84,,JFC DIGITAL CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20556,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-04-15,302.33,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20602,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-04-22,1006.20,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20646,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-04-29,669.54,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I20691,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-05-06,380.81,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
