form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00253294,SB21B.42106,,,ORG,4IMPRINT,,,,,,101 COMMERCE STREET,,OSHKOSH,WI,54901,,,2023-10-13,1808.57,,PAC PROMOTIONAL ITEMS- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42056,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-09-14,30.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42192,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-11-14,599.81,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42193,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-11-14,111.25,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42251,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-12-14,564.81,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42253,,,ORG,AMERICAN AIRLINES,,,,,,PO BOX 619616,,DALLAS FORTH WORTH,TX,75261,,,2023-12-14,30.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42209,,,ORG,AMINA,,,,,,104 CHESTNUR STREET,,PHILADLEPHIA,PA,19106,,,2023-12-14,1441.10,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41777,,,ORG,AMIRS CATERING LLC,,,,,,514 W UNION STREET,,CHESTER,PA,19013,,,2023-09-14,2000.00,,CATERING EXPENSE - NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41811,,,ORG,AMIRS CATERING LLC,,,,,,514 W UNION STREET,,CHESTER,PA,19013,,,2023-11-02,2700.00,,CATERING EXPENSE - NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41978,,,ORG,AMTRAK,,,,,,400 NORTH CAPITOL STREET,,WASHINGTON,DC,20001,,,2023-07-13,25.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41748,,,IND,,ANDERSON,KYLE,,,,1400 SPRING GARDEN STREET,,PHILADELPHIA,PA,19130,,,2023-07-18,2500.00,,MEDIA CONSULTANT,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42164,,,ORG,ASIA ON THE PARKWAY,,,,,,1700 BENJAMIN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103,,,2023-11-14,138.20,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42165,,,ORG,ASIA ON THE PARKWAY,,,,,,1700 BENJAMIN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103,,,2023-11-14,59.20,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42245,,,ORG,ASIA ON THE PARKWAY,,,,,,1700 BENJAMIN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103,,,2023-12-14,40.37,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41758,,,IND,,BLACKMAN,PERRY,N,,CPA,506 CORPORATE DRIVE WEST,,LANGHORNE,PA,19047,,,2023-07-20,3768.75,,ACCOUNTING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41759,,,IND,,BLACKMAN,PERRY,N,,CPA,506 CORPORATE DRIVE WEST,,LANGHORNE,PA,19047,,,2023-08-07,4643.75,,ACCOUNTING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41778,,,IND,,BLACKMAN,PERRY,N,,CPA,506 CORPORATE DRIVE WEST,,LANGHORNE,PA,19047,,,2023-09-18,2385.00,,ACCOUNTING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41801,,,IND,,BLACKMAN,PERRY,N,,CPA,506 CORPORATE DRIVE WEST,,LANGHORNE,PA,19047,,,2023-10-04,3510.00,,ACCOUNTING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41818,,,IND,,BLACKMAN,PERRY,N,,CPA,506 CORPORATE DRIVE WEST,,LANGHORNE,PA,19047,,,2023-11-06,3077.50,,ACCOUNTING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41841,,,IND,,BLACKMAN,PERRY,N,,CPA,506 CORPORATE DRIVE WEST,,LANGHORNE,PA,19047,,,2023-12-07,2660.00,,ACCOUNTING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41790,,,ORG,BOBBY VAN'S GRILL,,,,,,"1201 NEW YORK AVENUE, NW",,WASHINGTON,DC,20005,,,2023-09-18,17855.25,,CATERING EXPENSE - NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42122,,,ORG,BOBBY VANS STEAKHOUSE,,,,,,809 15TH ST NW,,WASHINGTON,DC,20005,,,2023-10-13,2500.00,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42141,,,ORG,BOBBY VANS STEAKHOUSE,,,,,,809 15TH ST NW,,WASHINGTON,DC,20005,,,2023-10-13,477.10,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42133,,,ORG,BOOKERS RESTAURANT,,,,,,5021 BALTIMORE AVENUE,,PHILADELPHIA,PA,19143,,,2023-10-13,59.76,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42138,,,ORG,BOOKERS RESTAURANT,,,,,,5021 BALTIMORE AVENUE,,PHILADELPHIA,PA,19143,,,2023-10-13,31.32,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42147,,,ORG,BUSBOYS AND POETS,,,,,,2021 14TH ST NW,,WASHINGTON,DC,20009,,,2023-10-13,339.62,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42169,,,ORG,CAFE FRESCO,,,,,,215 N 2ND STREET,,HARRISBURG,PA,17101,,,2023-11-14,286.47,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42170,,,ORG,CAFE FRESCO,,,,,,215 N 2ND STREET,,HARRISBURG,PA,17101,,,2023-11-14,235.90,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42065,,,ORG,CAPITAL GRILLE PHILADELPHIA,,,,,,1338 CHESTNUT STREET,,PHILADELPHIA,PA,19107,,,2023-09-14,182.96,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42161,,,ORG,CAPITAL GRILLE PHILADELPHIA,,,,,,1338 CHESTNUT STREET,,PHILADELPHIA,PA,19107,,,2023-11-14,98.54,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42166,,,ORG,CAPITAL GRILLE PHILADELPHIA,,,,,,1338 CHESTNUT STREET,,PHILADELPHIA,PA,19107,,,2023-11-14,42.67,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42179,,,ORG,CAPITAL GRILLE PHILADELPHIA,,,,,,1338 CHESTNUT STREET,,PHILADELPHIA,PA,19107,,,2023-11-14,152.84,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41743,,,ORG,CHAVOUS CONSULTING LLC,,,,,,100 S BROAD STREET,,PHILADELPHIA,PA,19110,,,2023-07-10,2500.00,,MARKET RESEARCH,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41779,,,ORG,CHAVOUS CONSULTING LLC,,,,,,100 S BROAD STREET,,PHILADELPHIA,PA,19110,,,2023-09-18,2500.00,,MARKET RESEARCH,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41780,,,ORG,CHAVOUS CONSULTING LLC,,,,,,100 S BROAD STREET,,PHILADELPHIA,PA,19110,,,2023-09-18,2500.00,,MARKET RESEARCH,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41832,,,ORG,CHAVOUS CONSULTING LLC,,,,,,100 S BROAD STREET,,PHILADELPHIA,PA,19110,,,2023-11-15,2500.00,,MARKET RESEARCH,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41833,,,ORG,CHAVOUS CONSULTING LLC,,,,,,100 S BROAD STREET,,PHILADELPHIA,PA,19110,,,2023-11-15,2500.00,,MARKET RESEARCH,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42128,,,ORG,CHICKIES AND PETES,,,,,,5035 TOWNSHIP LINE RD,,DREXEL HILL,PA,19026,,,2023-10-13,119.80,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42029,,,ORG,CITY VIEW PIZZA AND GRILL,,,,,,3617 N BROAD STREET,,PHILADELPHIA,PA,19140,,,2023-08-14,51.68,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41755,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-07-18,2490.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41760,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-08-07,1590.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41767,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-08-11,2610.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41789,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-09-18,2040.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41808,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-10-11,1530.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41831,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-11-15,1290.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41843,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-12-14,1350.00,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.66432,,,ORG,CLEARY JOSEM AND TRIGIANI LLP,,,,,,325 CHESTNUT STREET,,PHILADELPHIA,PA,19106,,,2023-12-31,-2490.00,,VOID CHECK - PREVIOUSLY REPORTED - NEVER CASHED,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41749,,,ORG,COMCAST,,,,,,PO BOX 70219,,PHILADELPHIA,PA,19176,,,2023-07-18,170.88,,CABLE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41776,,,ORG,COMCAST,,,,,,PO BOX 70219,,PHILADELPHIA,PA,19176,,,2023-08-29,170.00,,CABLE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41792,,,ORG,COMCAST,,,,,,PO BOX 70219,,PHILADELPHIA,PA,19176,,,2023-09-22,180.88,,CABLE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41809,,,ORG,COMCAST,,,,,,PO BOX 70219,,PHILADELPHIA,PA,19176,,,2023-10-17,181.76,,CABLE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41835,,,ORG,COMCAST,,,,,,PO BOX 70219,,PHILADELPHIA,PA,19176,,,2023-12-07,170.88,,CABLE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42103,,,ORG,CONGRESSIONAL BALCK CAUCUS FOUNDATION,,,,,,1720 MASSACHUSETTS AVE NW,,WASHINGTON,DC,20036,,,2023-10-13,500.00,,CONFERENCE REGISTRATION,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42124,,,ORG,CONGRESSIONAL BALCK CAUCUS FOUNDATION,,,,,,1720 MASSACHUSETTS AVE NW,,WASHINGTON,DC,20036,,,2023-10-13,250.00,,CONFERENCE REGISTRATION,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42127,,,ORG,CONGRESSIONAL BALCK CAUCUS FOUNDATION,,,,,,1720 MASSACHUSETTS AVE NW,,WASHINGTON,DC,20036,,,2023-10-13,250.00,,CONFERENCE REGISTRATION,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42211,,,ORG,CORNER BAKERY,,,,,,1701 MARKET STREET,,PHILADELPHIA,PA,19103,,,2023-12-14,295.40,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41988,,,ORG,CROWNE PLAZA HARRISBURG,,,,,,23 S 2ND STREET,,HARRISBURG,PA,17101,,,2023-07-14,465.39,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42173,,,ORG,CROWNE PLAZA HARRISBURG,,,,,,23 S 2ND STREET,,HARRISBURG,PA,17101,,,2023-11-14,357.47,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42131,,,ORG,CURIO DIPLOMAT,,,,,,3555 S OCEAN DRIVE,,HOLLYWOOD,FL,33019,,,2023-10-13,370.64,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42206,,,ORG,CURIO DIPLOMAT,,,,,,3555 S OCEAN DRIVE,,HOLLYWOOD,FL,33019,,,2023-11-14,60.96,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42223,,,ORG,CURIO DIPLOMAT,,,,,,3555 S OCEAN DRIVE,,HOLLYWOOD,FL,33019,,,2023-12-14,1772.44,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41774,,,IND,,DEL PILAR,MARIA,,,,1341 N DELAWARE AVE,,PHILADELPHIA,PA,19125,,,2023-08-24,3600.00,,MEDIA CONSULTANT,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.66472,,,IND,,DEL PILAR,MARIA,,,,1341 N DELAWARE AVE,,PHILADELPHIA,PA,19125,,,2023-10-11,5000.00,,MEDIA CONSULTANT,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.66464,,,ORG,DELUXE BUSINESS CHECKS,,,,,,801 S MARQUETTE AVE,,MINNEAPOLIS,MN,55402,,,2023-09-05,575.67,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42116,,,ORG,EDDIE V'S,,,,,,670 W. DEKALB PIKE,,KING OF PRUSSIA,PA,19406,,,2023-10-13,289.56,,MEETING EXPENSE- NOT IN SUPPORT OF ANY SPECIFICALLY IDENTIFIED FEDERAL CANDIDATE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41974,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-07-14,561.13,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42110,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,1353.14,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42111,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,1910.92,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42118,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,391.34,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42119,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,326.34,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42120,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,1669.38,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42121,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,2199.66,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42143,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,636.57,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42153,,,ORG,EMBASSY SUITES,,,,,,900 10TH STREET NW,,WASHINGTON,DC,20001,,,2023-10-13,2186.51,,CONFERENCE LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41972,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-07-14,35.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41976,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-07-14,35.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.41991,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-07-14,35.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42011,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-08-14,35.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42068,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-09-14,55.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42095,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-09-14,55.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42174,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-11-14,55.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42241,,,ORG,EZ PASS,,,,,,300 E PARK DRIVE,,HARRISBURG,PA,17111,,,2023-12-14,55.00,,TRAVEL EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00253294,SB21B.42181,,,ORG,FLASH CLEANERS,,,,,,401 S 60TH STREET,,PHILADELPHIA,PA,19143,,,2023-11-14,42.75,,OFFICE EXPENSE,,,,,,,,,,,,,,,,,,,,
