form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00765917,SB21B.31642,,,ORG,C&D PRINTING,,,,,,550 E 76th Ave.,,Denver,CO,80229,P2023,,2023-10-13,1993.95,,DIRECT MAIL,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31688,,,ORG,Mailerlite,,,,,,Address Requested,,requested,ZZ,11111,P2023,,2023-11-24,400.00,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31691,,,ORG,Mailerlite,,,,,,Address Requested,,requested,ZZ,11111,P2023,,2023-12-20,2.67,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31687,,,ORG,Mailerlite,,,,,,Address Requested,,requested,ZZ,11111,P2023,,2023-12-26,420.00,,FUNDRAISING EMAIL PLATFORM,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31694,,,ORG,PHONEBURNER,,,,,,1968 S Coast Hwy Suite 1800,,Laguna Beach,CA,92651,P2023,,2023-10-10,149.00,,FUNDRAISING PHONE DIALER,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31693,,,ORG,PHONEBURNER,,,,,,1968 S Coast Hwy Suite 1800,,Laguna Beach,CA,92651,P2023,,2023-11-09,149.00,,FUNDRAISING PHONE DIALER,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31692,,,ORG,PHONEBURNER,,,,,,1968 S Coast Hwy Suite 1800,,Laguna Beach,CA,92651,P2023,,2023-12-11,149.00,,FUNDRAISING PHONE DIALER,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31723,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-10-02,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31724,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-10-02,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31722,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-10-10,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31721,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-10-16,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31720,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-10-23,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31719,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-10-30,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31718,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-11-01,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31717,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-11-06,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31716,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-11-13,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31715,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-11-20,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31714,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-11-27,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31713,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-12-01,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31712,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-12-04,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31711,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-12-11,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31710,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-12-18,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00765917,SB21B.31709,,,ORG,Wells Fargo,,,,,,1137 E South Boulder Rd,,Louisville,CO,80027,P2023,,2023-12-26,15.00,,WIRE TRANSFER CHARGE,,,,,,,,,,,,,,,,,,,,
